"","publisher","date","type","XY","wqual","qual","freq"
"889","De Volkskrant","11-3-2021","IP","party_OenW",1,1,1
"890","De Volkskrant","11-3-2021","IP","party_begrotingssaldo",0,0,2
"891","De Volkskrant","11-3-2021","IP","party_coronabestrijding",-5,-0.714285714285714,7
"892","De Volkskrant","11-3-2021","IP","party_geZorg",4,1,4
"893","De Volkskrant","11-3-2021","IP","party_integratie",0,0,2
"894","De Volkskrant","11-3-2021","IP","party_issue",-1,-1,1
"895","De Volkskrant","11-3-2021","IP","party_ontwikkelingCrim",-1,-1,1
"896","De Volkskrant","11-3-2021","MP","media_CDA",-4,-1,4
"897","De Volkskrant","11-3-2021","REA","?realityUD?_coronabestrijding",1,1,1
"898","De Volkskrant","11-3-2021","REA","?realityUD?_issue",-1,-1,1
"899","De Volkskrant","11-3-2021","REA","?realityUD?_klimaatMilieu",-1,-1,1
"900","De Volkskrant","11-3-2021","REA","?realityUD?_ondernemingsklimaat",0,0,2
"901","De Volkskrant","12-2-2021","IP","party_campagne",-1,-1,1
"902","De Volkskrant","12-2-2021","IP","party_vrijheidsrechten",-1,-1,1
"903","De Volkskrant","12-2-2021","MP","media_FvD",-0.25,-1,0.25
"904","De Volkskrant","12-2-2021","MP","media_JA21",-0.25,-1,0.25
"905","De Volkskrant","12-2-2021","MP","media_PVV",-0.25,-1,0.25
"906","De Volkskrant","12-2-2021","MP","media_PvdA",3,1,3
"907","De Volkskrant","12-2-2021","MP","media_VVD",0.75,0,1.25
"908","De Volkskrant","12-2-2021","REA","?realityUD?_SocZek",-1,-0.2,5
"909","De Volkskrant","12-2-2021","REA","?realityUD?_campagne",0,0,1
"910","De Volkskrant","12-2-2021","REA","?realityUD?_integratie",-1,-1,1
"911","De Volkskrant","12-2-2021","REA","?realityUD?_ondernemingsklimaat",3,1,3
"912","De Volkskrant","12-2-2021","REA","?realityUD?_vrijheidsrechten",-1,-1,1
"913","De Volkskrant","12-2-2021","SF","?realitySF?_FvD",-2,-1,2
"914","De Volkskrant","12-2-2021","SF","?realitySF?_PvdA",-1,-0.166666666666667,6
"915","De Volkskrant","12-2-2021","SF","?realitySF?_SP",1,1,1
"916","De Volkskrant","12-2-2021","SP","society_GroenLinks",1,1,1
"917","De Volkskrant","12-3-2021","IP","party_EuropeseUnie",-1,-1,1
"918","De Volkskrant","12-3-2021","IP","party_coronabestrijding",0,0,1
"919","De Volkskrant","12-3-2021","IP","party_klimaatMilieu",-2,-0.5,4
"920","De Volkskrant","12-3-2021","IP","party_normenWaarden",1,0.333333333333333,3
"921","De Volkskrant","12-3-2021","IP","party_ontwikkelingCrim",-1,-1,1
"922","De Volkskrant","12-3-2021","IP","party_vrijheidsrechten",-1,-1,1
"923","De Volkskrant","12-3-2021","MP","media_CDA",0,0,3
"924","De Volkskrant","12-3-2021","MP","media_DENK",-3,-1,3
"925","De Volkskrant","12-3-2021","MP","media_PvdA",1,1,1
"926","De Volkskrant","12-3-2021","MP","media_VVD",-1,-0.5,2
"927","De Volkskrant","12-3-2021","REA","?realityUD?_campagne",-1,-1,1
"928","De Volkskrant","12-3-2021","REA","?realityUD?_coronabestrijding",-1,-1,1
"929","De Volkskrant","12-3-2021","REA","?realityUD?_terreurbestrijding",-1,-1,1
"930","De Volkskrant","12-3-2021","SF","?realitySF?_CDA",2,1,2
"931","De Volkskrant","12-3-2021","SF","?realitySF?_SGP",-1,-1,1
"932","De Volkskrant","12-3-2021","SP","society_GroenLinks",-1,-1,1
"933","De Volkskrant","12-3-2021","SP","society_SGP",-1,-1,1
"934","De Volkskrant","13-2-2021","MP","media_VVD",2,1,2
"935","De Volkskrant","13-2-2021","REA","?realityUD?_SocZek",-2,-1,2
"936","De Volkskrant","13-2-2021","REA","?realityUD?_coronabestrijding",0,0,4
"937","De Volkskrant","13-2-2021","REA","?realityUD?_coronaverspreiding",0,0,2
"938","De Volkskrant","13-2-2021","REA","?realityUD?_geZorg",2,1,2
"939","De Volkskrant","13-2-2021","REA","?realityUD?_klimaatMilieu",2,1,2
"940","De Volkskrant","13-2-2021","REA","?realityUD?_woning",2,1,2
"941","De Volkskrant","13-2-2021","SF","?realitySF?_CDA",6,0.6,10
"942","De Volkskrant","13-2-2021","SF","?realitySF?_CU",4,1,4
"943","De Volkskrant","13-2-2021","SF","?realitySF?_D66",2,1,2
"944","De Volkskrant","13-2-2021","SF","?realitySF?_PVV",2,0.5,4
"945","De Volkskrant","13-2-2021","SF","?realitySF?_SP",0,0,2
"946","De Volkskrant","13-2-2021","SF","?realitySF?_VVD",8,0.571428571428571,14
"947","De Volkskrant","13-3-2021","IP","party_SocZek",-1,-1,1
"948","De Volkskrant","13-3-2021","IP","party_bestrijdingCrim",1,0.333333333333333,3
"949","De Volkskrant","13-3-2021","IP","party_campagne",1,0.333333333333333,3
"950","De Volkskrant","13-3-2021","IP","party_coronabestrijding",1,1,1
"951","De Volkskrant","13-3-2021","IP","party_vrijheidsrechten",1,1,1
"952","De Volkskrant","13-3-2021","IP","party_woning",1,1,1
"953","De Volkskrant","13-3-2021","MP","media_CDA",0,0,2
"954","De Volkskrant","13-3-2021","MP","media_VVD",-1,-0.25,4
"955","De Volkskrant","13-3-2021","REA","?realityUD?_SocZek",-1,-1,1
"956","De Volkskrant","13-3-2021","REA","?realityUD?_bestVernieuw",-1,-1,1
"957","De Volkskrant","13-3-2021","REA","?realityUD?_bestrijdingCrim",1,1,1
"958","De Volkskrant","13-3-2021","REA","?realityUD?_campagne",3,0.6,5
"959","De Volkskrant","13-3-2021","REA","?realityUD?_coronaverspreiding",1,1,1
"960","De Volkskrant","13-3-2021","REA","?realityUD?_klimaatMilieu",0,0,2
"961","De Volkskrant","13-3-2021","REA","?realityUD?_normenWaarden",1,1,1
"962","De Volkskrant","13-3-2021","REA","?realityUD?_vrijheidsrechten",1,1,1
"963","De Volkskrant","13-3-2021","SF","?realitySF?_FvD",0,0,1
"964","De Volkskrant","13-3-2021","SF","?realitySF?_PvdA",0,0,3
"965","De Volkskrant","13-3-2021","SF","?realitySF?_SGP",1,1,1
"966","De Volkskrant","13-3-2021","SF","?realitySF?_VVD",2,1,2
"967","De Volkskrant","13-3-2021","SP","society_VVD",3,1,3
"968","De Volkskrant","15-2-2021","MP","media_VVD",4,1,4
"969","De Volkskrant","15-2-2021","REA","?realityUD?_campagne",2,1,2
"970","De Volkskrant","15-2-2021","REA","?realityUD?_coronabestrijding",0,0,4
"971","De Volkskrant","15-2-2021","REA","?realityUD?_vrijheidsrechten",-2,-1,2
"972","De Volkskrant","15-2-2021","SF","?realitySF?_CDA",0,0,2
"973","De Volkskrant","15-2-2021","SF","?realitySF?_CU",0,0,2
"974","De Volkskrant","15-2-2021","SF","?realitySF?_VVD",2,0.5,4
"975","De Volkskrant","15-3-2021","MP","media_CDA",2,0.25,8
"976","De Volkskrant","15-3-2021","MP","media_PVV",-1,-1,1
"977","De Volkskrant","15-3-2021","MP","media_VVD",0,0,1
"978","De Volkskrant","15-3-2021","REA","?realityUD?_SocZek",-1,-1,1
"979","De Volkskrant","15-3-2021","REA","?realityUD?_coronabestrijding",-1,-1,1
"980","De Volkskrant","15-3-2021","SF","?realitySF?_CDA",0,0,1
"981","De Volkskrant","15-3-2021","SF","?realitySF?_PVV",1,1,1
"982","De Volkskrant","15-3-2021","SF","?realitySF?_VVD",1,1,1
"983","De Volkskrant","15-3-2021","SP","society_BIJ1",1,1,1
"984","De Volkskrant","15-3-2021","SP","society_CDA",2,1,2
"985","De Volkskrant","15-3-2021","SP","society_CU",1,1,1
"986","De Volkskrant","15-3-2021","SP","society_PVV",1,1,1
"987","De Volkskrant","15-3-2021","SP","society_SGP",1,1,1
"988","De Volkskrant","15-3-2021","SP","society_VVD",-1,-0.333333333333333,3
"989","De Volkskrant","16-2-2021","IP","party_OenW",-2,-1,2
"990","De Volkskrant","16-2-2021","IP","party_integratie",-2,-0.333333333333333,6
"991","De Volkskrant","16-2-2021","MP","media_CU",0,0,2
"992","De Volkskrant","16-2-2021","REA","?realityUD?_coronabestrijding",2,1,2
"993","De Volkskrant","16-2-2021","REA","?realityUD?_coronaverspreiding",0,0,2
"994","De Volkskrant","16-2-2021","REA","?realityUD?_ondernemingsklimaat",-2,-1,2
"995","De Volkskrant","16-2-2021","SF","?realitySF?_CDA",-2,-0.333333333333333,6
"996","De Volkskrant","16-2-2021","SF","?realitySF?_CU",0,0,2
"997","De Volkskrant","16-2-2021","SF","?realitySF?_D66",0,0,2
"998","De Volkskrant","16-2-2021","SF","?realitySF?_GroenLinks",0,0,2
"999","De Volkskrant","16-2-2021","SF","?realitySF?_PVV",-4,-0.666666666666667,6
"1000","De Volkskrant","16-2-2021","SF","?realitySF?_PvdA",0,0,2
"1001","De Volkskrant","16-2-2021","SF","?realitySF?_SP",0,0,2
"1002","De Volkskrant","16-2-2021","SF","?realitySF?_VVD",2,0.333333333333333,6
"1003","De Volkskrant","16-3-2021","IP","party_bestVernieuw",0,0,1
"1004","De Volkskrant","16-3-2021","IP","party_ondernemingsklimaat",5,1,5
"1005","De Volkskrant","16-3-2021","MP","media_50Plus",-1,-1,1
"1006","De Volkskrant","16-3-2021","MP","media_CU",1,1,1
"1007","De Volkskrant","16-3-2021","MP","media_GroenLinks",-1,-1,1
"1008","De Volkskrant","16-3-2021","MP","media_VVD",1,1,1
"1009","De Volkskrant","16-3-2021","REA","?realityUD?_belastHeffing",1,1,1
"1010","De Volkskrant","16-3-2021","REA","?realityUD?_bestVernieuw",0,0,2
"1011","De Volkskrant","16-3-2021","REA","?realityUD?_campagne",1,0.166666666666667,6
"1012","De Volkskrant","16-3-2021","REA","?realityUD?_geZorg",-3,-1,3
"1013","De Volkskrant","16-3-2021","REA","?realityUD?_ondernemingsklimaat",0,0,1
"1014","De Volkskrant","16-3-2021","SF","?realitySF?_50Plus",0,0,2
"1015","De Volkskrant","16-3-2021","SF","?realitySF?_D66",-1,-1,1
"1016","De Volkskrant","16-3-2021","SF","?realitySF?_FvD",-1,-1,1
"1017","De Volkskrant","16-3-2021","SF","?realitySF?_PVV",-1,-1,1
"1018","De Volkskrant","16-3-2021","SP","society_D66",1,1,1
"1019","De Volkskrant","16-3-2021","SP","society_GroenLinks",1,1,1
"1020","De Volkskrant","16-3-2021","SP","society_PvdA",1,1,1
"1021","De Volkskrant","16-3-2021","SP","society_VVD",1,1,1
"1022","De Volkskrant","17-2-2021","IP","party_coronabestrijding",-2,-1,2
"1023","De Volkskrant","17-2-2021","REA","?realityUD?_SocZek",-2,-1,2
"1024","De Volkskrant","17-2-2021","REA","?realityUD?_coronabestrijding",-4,-0.5,8
"1025","De Volkskrant","17-2-2021","REA","?realityUD?_coronaverspreiding",-2,-1,2
"1026","De Volkskrant","17-2-2021","SF","?realitySF?_VVD",-2,-1,2
"1027","De Volkskrant","18-2-2021","IP","party_OenW",2,1,2
"1028","De Volkskrant","18-2-2021","IP","party_campagne",-1,-0.666666666666667,3
"1029","De Volkskrant","18-2-2021","IP","party_coronabestrijding",-1,-1,1
"1030","De Volkskrant","18-2-2021","MP","media_CDA",-1,-1,1
"1031","De Volkskrant","18-2-2021","MP","media_GroenLinks",-0.25,-1,0.25
"1032","De Volkskrant","18-2-2021","MP","media_PvdA",-2.25,-1,2.25
"1033","De Volkskrant","18-2-2021","MP","media_PvdD",-0.25,-1,0.25
"1034","De Volkskrant","18-2-2021","MP","media_SP",-0.25,-1,0.25
"1035","De Volkskrant","18-2-2021","REA","?realityUD?_OenW",1,0.2,5
"1036","De Volkskrant","18-2-2021","REA","?realityUD?_coronabestrijding",-1,-1,1
"1037","De Volkskrant","18-2-2021","REA","?realityUD?_werk",-1,-1,1
"1038","De Volkskrant","18-2-2021","REA","?realityUD?_woning",2,1,2
"1039","De Volkskrant","18-2-2021","SF","?realitySF?_PvdA",0,0,4
"1040","De Volkskrant","19-2-2021","IP","party_OenW",4,1,4
"1041","De Volkskrant","19-2-2021","IP","party_campagne",2,1,2
"1042","De Volkskrant","19-2-2021","REA","?realityUD?_SocZek",-2,-1,2
"1043","De Volkskrant","19-2-2021","REA","?realityUD?_begrotingssaldo",-2,-1,2
"1044","De Volkskrant","19-2-2021","REA","?realityUD?_coronabestrijding",2,1,2
"1045","De Volkskrant","19-2-2021","REA","?realityUD?_coronaverspreiding",0,0,2
"1046","De Volkskrant","19-2-2021","REA","?realityUD?_ondernemingsklimaat",2,1,2
"1047","De Volkskrant","19-2-2021","REA","?realityUD?_woning",-2,-0.333333333333333,6
"1048","De Volkskrant","19-2-2021","SF","?realitySF?_D66",4,1,4
"1049","De Volkskrant","19-2-2021","SF","?realitySF?_FvD",2,1,2
"1050","De Volkskrant","19-2-2021","SF","?realitySF?_GroenLinks",0,0,6
"1051","De Volkskrant","19-2-2021","SF","?realitySF?_PvdA",-2,-1,2
"1052","De Volkskrant","19-2-2021","SP","society_PvdD",0,0,2
"1053","De Volkskrant","2-2-2021","CP","politics_GroenLinks",1,1,1
"1054","De Volkskrant","2-2-2021","IP","party_klimaatMilieu",2,1,2
"1055","De Volkskrant","2-2-2021","MP","media_CDA",-1,-1,1
"1056","De Volkskrant","2-2-2021","MP","media_D66",-1,-1,1
"1057","De Volkskrant","2-2-2021","REA","?realityUD?_OenW",1,1,1
"1058","De Volkskrant","2-2-2021","REA","?realityUD?_SocZek",-1,-0.5,2
"1059","De Volkskrant","2-2-2021","REA","?realityUD?_coronaverspreiding",1,1,1
"1060","De Volkskrant","2-2-2021","REA","?realityUD?_integratie",-2,-1,2
"1061","De Volkskrant","2-2-2021","REA","?realityUD?_normenWaarden",-2,-0.666666666666667,3
"1062","De Volkskrant","2-2-2021","SF","?realitySF?_GroenLinks",0,0,2
"1063","De Volkskrant","2-3-2021","IP","party_belastHeffing",1,1,1
"1064","De Volkskrant","2-3-2021","IP","party_coronabestrijding",-1,-1,1
"1065","De Volkskrant","2-3-2021","IP","party_ontwikkelingCrim",-1,-1,1
"1066","De Volkskrant","2-3-2021","MP","media_CDA",1,1,1
"1067","De Volkskrant","2-3-2021","MP","media_D66",0,0,1
"1068","De Volkskrant","2-3-2021","MP","media_VVD",0,0,1
"1069","De Volkskrant","2-3-2021","REA","?realityUD?_OenW",1,1,1
"1070","De Volkskrant","2-3-2021","REA","?realityUD?_belastHeffing",-1,-1,1
"1071","De Volkskrant","2-3-2021","REA","?realityUD?_coronaverspreiding",1,1,1
"1072","De Volkskrant","2-3-2021","REA","?realityUD?_geZorg",-1,-1,1
"1073","De Volkskrant","2-3-2021","REA","?realityUD?_klimaatMilieu",1,1,1
"1074","De Volkskrant","2-3-2021","REA","?realityUD?_ontwikkelingCrim",1,1,1
"1075","De Volkskrant","2-3-2021","REA","?realityUD?_woning",1,0.5,2
"1076","De Volkskrant","2-3-2021","SF","?realitySF?_CDA",2,1,2
"1077","De Volkskrant","2-3-2021","SF","?realitySF?_FvD",1,0.571428571428571,3.25
"1078","De Volkskrant","2-3-2021","SF","?realitySF?_GroenLinks",1,1,1
"1079","De Volkskrant","2-3-2021","SF","?realitySF?_JA21",2,0.833333333333333,2.25
"1080","De Volkskrant","2-3-2021","SF","?realitySF?_PVV",1,0.444444444444444,5.25
"1081","De Volkskrant","2-3-2021","SF","?realitySF?_PvdA",1,1,1
"1082","De Volkskrant","2-3-2021","SF","?realitySF?_SGP",1,1,1
"1083","De Volkskrant","2-3-2021","SF","?realitySF?_SP",1,1,1
"1084","De Volkskrant","2-3-2021","SF","?realitySF?_VVD",2,0.833333333333333,2.25
"1085","De Volkskrant","2-3-2021","SP","society_PVV",-1,-1,1
"1086","De Volkskrant","20-2-2021","IP","party_coronabestrijding",-1,-1,1
"1087","De Volkskrant","20-2-2021","IP","party_vrijheidsrechten",1,1,1
"1088","De Volkskrant","20-2-2021","MP","media_PvdA",0,0,2
"1089","De Volkskrant","20-2-2021","MP","media_SGP",-2,-1,2
"1090","De Volkskrant","20-2-2021","REA","?realityUD?_OenW",1,0.2,5
"1091","De Volkskrant","20-2-2021","REA","?realityUD?_campagne",-1,-0.25,4
"1092","De Volkskrant","20-2-2021","REA","?realityUD?_coronabestrijding",-1,-0.333333333333333,3
"1093","De Volkskrant","20-2-2021","REA","?realityUD?_coronaverspreiding",0,0,1
"1094","De Volkskrant","20-2-2021","REA","?realityUD?_geZorg",-2,-1,2
"1095","De Volkskrant","20-2-2021","REA","?realityUD?_vrijheidsrechten",-1,-1,1
"1096","De Volkskrant","20-2-2021","SF","?realitySF?_CDA",-3,-1,3
"1097","De Volkskrant","20-2-2021","SF","?realitySF?_PvdA",0,0,1
"1098","De Volkskrant","20-2-2021","SP","society_PvdD",-1,-1,1
"1099","De Volkskrant","22-2-2021","IP","party_coronabestrijding",-2,-1,2
"1100","De Volkskrant","22-2-2021","IP","party_normenWaarden",-2,-1,2
"1101","De Volkskrant","22-2-2021","MP","media_CDA",2,1,2
"1102","De Volkskrant","22-2-2021","MP","media_FvD",2,1,2
"1103","De Volkskrant","22-2-2021","MP","media_PvdA",-2,-1,2
"1104","De Volkskrant","22-2-2021","REA","?realityUD?_coronabestrijding",0,0,4
"1105","De Volkskrant","22-2-2021","SF","?realitySF?_CDA",0,0,2
"1106","De Volkskrant","22-2-2021","SF","?realitySF?_FvD",0,0,2
"1107","De Volkskrant","22-2-2021","SF","?realitySF?_GroenLinks",4,1,4
"1108","De Volkskrant","23-2-2021","IP","party_bestVernieuw",1,1,1
"1109","De Volkskrant","23-2-2021","MP","media_FvD",-1,-0.5,2
"1110","De Volkskrant","23-2-2021","MP","media_SP",-2,-1,2
"1111","De Volkskrant","23-2-2021","MP","media_VVD",-2,-1,2
"1112","De Volkskrant","23-2-2021","REA","?realityUD?_SocZek",-1,-1,1
"1113","De Volkskrant","23-2-2021","REA","?realityUD?_woning",0,0,1
"1114","De Volkskrant","23-2-2021","SF","?realitySF?_CDA",0,0,1
"1115","De Volkskrant","23-2-2021","SF","?realitySF?_FvD",1,1,1
"1116","De Volkskrant","23-2-2021","SF","?realitySF?_SP",-4,-0.666666666666667,6
"1117","De Volkskrant","24-2-2021","IP","party_SocZek",0,0,1
"1118","De Volkskrant","24-2-2021","REA","?realityUD?_SocZek",-1,-1,1
"1119","De Volkskrant","24-2-2021","REA","?realityUD?_coronaverspreiding",1,1,1
"1120","De Volkskrant","24-2-2021","REA","?realityUD?_vrijheidsrechten",0,0,1
"1121","De Volkskrant","24-2-2021","SF","?realitySF?_CDA",-1,-0.333333333333333,3
"1122","De Volkskrant","25-2-2021","CP","politics_VVD",1,1,1
"1123","De Volkskrant","25-2-2021","MP","media_CU",-1,-1,1
"1124","De Volkskrant","25-2-2021","MP","media_D66",-1,-1,1
"1125","De Volkskrant","25-2-2021","MP","media_PVV",-1,-1,1
"1126","De Volkskrant","25-2-2021","MP","media_VVD",0,0,1
"1127","De Volkskrant","25-2-2021","REA","?realityUD?_OenW",1,1,1
"1128","De Volkskrant","25-2-2021","REA","?realityUD?_campagne",0,0,1
"1129","De Volkskrant","25-2-2021","REA","?realityUD?_klimaatMilieu",0,0,1
"1130","De Volkskrant","25-2-2021","SF","?realitySF?_CDA",0,0,1
"1131","De Volkskrant","25-2-2021","SF","?realitySF?_CU",2,0.666666666666667,3
"1132","De Volkskrant","25-2-2021","SF","?realitySF?_D66",-1,-0.333333333333333,3
"1133","De Volkskrant","25-2-2021","SF","?realitySF?_VVD",-1,-0.333333333333333,3
"1134","De Volkskrant","26-2-2021","CP","politics_CDA",1,1,1
"1135","De Volkskrant","26-2-2021","CP","politics_VVD",1,1,1
"1136","De Volkskrant","26-2-2021","IP","party_coronabestrijding",-1,-1,1
"1137","De Volkskrant","26-2-2021","IP","party_ondernemingsklimaat",3,1,3
"1138","De Volkskrant","26-2-2021","IP","party_vrijheidsrechten",2,1,2
"1139","De Volkskrant","26-2-2021","MP","media_D66",-3,-1,3
"1140","De Volkskrant","26-2-2021","MP","media_JA21",1,1,1
"1141","De Volkskrant","26-2-2021","REA","?realityUD?_bestrijdingCrim",2,0.666666666666667,3
"1142","De Volkskrant","26-2-2021","REA","?realityUD?_campagne",0,0,1
"1143","De Volkskrant","26-2-2021","REA","?realityUD?_coronabestrijding",0,0,1
"1144","De Volkskrant","26-2-2021","REA","?realityUD?_geZorg",-1,-1,1
"1145","De Volkskrant","26-2-2021","REA","?realityUD?_infrastructuur",-3,-1,3
"1146","De Volkskrant","26-2-2021","REA","?realityUD?_ondernemingsklimaat",1,1,1
"1147","De Volkskrant","26-2-2021","SF","?realitySF?_CDA",-1,-1,1
"1148","De Volkskrant","26-2-2021","SF","?realitySF?_D66",-1,-1,1
"1149","De Volkskrant","26-2-2021","SF","?realitySF?_FvD",0,0,1
"1150","De Volkskrant","26-2-2021","SF","?realitySF?_GroenLinks",0,0,1
"1151","De Volkskrant","26-2-2021","SF","?realitySF?_JA21",0,0,2
"1152","De Volkskrant","26-2-2021","SF","?realitySF?_PvdA",2,0.666666666666667,3
"1153","De Volkskrant","27-2-2021","IP","party_bestVernieuw",2,1,2
"1154","De Volkskrant","27-2-2021","MP","media_VVD",-1,-1,1
"1155","De Volkskrant","27-2-2021","REA","?realityUD?_vrijheidsrechten",-1,-1,1
"1156","De Volkskrant","27-2-2021","SF","?realitySF?_CDA",1,1,1
"1157","De Volkskrant","27-2-2021","SF","?realitySF?_FvD",1,0.25,4
"1158","De Volkskrant","27-2-2021","SF","?realitySF?_VVD",0,0,4
"1159","De Volkskrant","3-2-2021","IP","party_EuropeseUnie",1,1,1
"1160","De Volkskrant","3-2-2021","IP","party_OenW",-1,-1,1
"1161","De Volkskrant","3-2-2021","IP","party_coronabestrijding",2,0.666666666666667,3
"1162","De Volkskrant","3-2-2021","IP","party_woning",4,1,4
"1163","De Volkskrant","3-2-2021","MP","media_CDA",-1,-1,1
"1164","De Volkskrant","3-2-2021","MP","media_FvD",-1,-1,1
"1165","De Volkskrant","3-2-2021","MP","media_PvdA",2,1,2
"1166","De Volkskrant","3-2-2021","MP","media_VVD",-1,-1,1
"1167","De Volkskrant","3-2-2021","REA","?realityUD?_OenW",1,1,1
"1168","De Volkskrant","3-2-2021","REA","?realityUD?_SocZek",-2,-1,2
"1169","De Volkskrant","3-2-2021","REA","?realityUD?_belastHeffing",2,1,2
"1170","De Volkskrant","3-2-2021","REA","?realityUD?_coronabestrijding",3,0.5,6
"1171","De Volkskrant","3-2-2021","REA","?realityUD?_coronaverspreiding",3,1,3
"1172","De Volkskrant","3-2-2021","REA","?realityUD?_klimaatMilieu",0,0,2
"1173","De Volkskrant","3-2-2021","REA","?realityUD?_woning",1,1,1
"1174","De Volkskrant","3-2-2021","SF","?realitySF?_BIJ1",1,1,1
"1175","De Volkskrant","3-2-2021","SF","?realitySF?_CDA",0,0,1
"1176","De Volkskrant","3-2-2021","SF","?realitySF?_GroenLinks",-0.25,-1,0.25
"1177","De Volkskrant","3-2-2021","SF","?realitySF?_JA21",1,1,1
"1178","De Volkskrant","3-2-2021","SF","?realitySF?_LKrol",1,1,1
"1179","De Volkskrant","3-2-2021","SF","?realitySF?_PvdA",-1.25,-1,1.25
"1180","De Volkskrant","3-2-2021","SF","?realitySF?_PvdD",-0.25,-1,0.25
"1181","De Volkskrant","3-2-2021","SF","?realitySF?_SP",-0.25,-1,0.25
"1182","De Volkskrant","3-2-2021","SF","?realitySF?_Splinter",1,1,1
"1183","De Volkskrant","3-2-2021","SF","?realitySF?_VOLT",1,1,1
"1184","De Volkskrant","3-3-2021","IP","party_coronabestrijding",1,1,1
"1185","De Volkskrant","3-3-2021","IP","party_klimaatMilieu",-1,-1,1
"1186","De Volkskrant","3-3-2021","MP","media_CDA",1,1,1
"1187","De Volkskrant","3-3-2021","MP","media_CU",1,1,1
"1188","De Volkskrant","3-3-2021","MP","media_D66",1,1,1
"1189","De Volkskrant","3-3-2021","MP","media_GroenLinks",1,1,1
"1190","De Volkskrant","3-3-2021","MP","media_PVV",0,0,2
"1191","De Volkskrant","3-3-2021","MP","media_PvdA",1,1,1
"1192","De Volkskrant","3-3-2021","MP","media_SP",1,1,1
"1193","De Volkskrant","3-3-2021","REA","?realityUD?_EuropeseUnie",0,0,1
"1194","De Volkskrant","3-3-2021","REA","?realityUD?_belastHeffing",0,0,1
"1195","De Volkskrant","3-3-2021","REA","?realityUD?_campagne",0,0,2
"1196","De Volkskrant","3-3-2021","REA","?realityUD?_coronaverspreiding",2,1,2
"1197","De Volkskrant","3-3-2021","REA","?realityUD?_ontwikkelingCrim",1,1,1
"1198","De Volkskrant","3-3-2021","REA","?realityUD?_woning",-1,-1,1
"1199","De Volkskrant","3-3-2021","SF","?realitySF?_PVV",-1,-1,1
"1200","De Volkskrant","3-3-2021","SP","society_VVD",0,0,3
"1201","De Volkskrant","4-2-2021","CP","politics_VVD",-1,-1,1
"1202","De Volkskrant","4-2-2021","IP","party_OenW",1,1,1
"1203","De Volkskrant","4-2-2021","IP","party_integratie",0,0.6,2
"1204","De Volkskrant","4-2-2021","IP","party_ontwikkelingCrim",1,1,1
"1205","De Volkskrant","4-2-2021","IP","party_woning",-1,-1,1
"1206","De Volkskrant","4-2-2021","MP","media_GroenLinks",-1,-0.333333333333333,3
"1207","De Volkskrant","4-2-2021","MP","media_SP",1,0.5,2
"1208","De Volkskrant","4-2-2021","REA","?realityUD?_OenW",1,1,1
"1209","De Volkskrant","4-2-2021","REA","?realityUD?_SocZek",1,1,1
"1210","De Volkskrant","4-2-2021","REA","?realityUD?_werk",1,1,1
"1211","De Volkskrant","4-2-2021","SF","?realitySF?_CDA",-1,-1,1
"1212","De Volkskrant","4-2-2021","SF","?realitySF?_SP",-1,-1,1
"1213","De Volkskrant","4-2-2021","SF","?realitySF?_VVD",-1,-0.5,2
"1214","De Volkskrant","4-2-2021","SP","society_VVD",-1,-1,1
"1215","De Volkskrant","4-3-2021","IP","party_SocZek",1,1,1
"1216","De Volkskrant","4-3-2021","IP","party_coronaverspreiding",-2,-1,2
"1217","De Volkskrant","4-3-2021","IP","party_vrijheidsrechten",1,1,1
"1218","De Volkskrant","4-3-2021","MP","media_FvD",-1,-1,1
"1219","De Volkskrant","4-3-2021","REA","?realityUD?_SocZek",-2,-1,2
"1220","De Volkskrant","4-3-2021","REA","?realityUD?_campagne",0,0,1
"1221","De Volkskrant","4-3-2021","REA","?realityUD?_coronabestrijding",-1,-1,1
"1222","De Volkskrant","4-3-2021","REA","?realityUD?_coronaverspreiding",0,0,1
"1223","De Volkskrant","4-3-2021","REA","?realityUD?_integratie",-1,-1,1
"1224","De Volkskrant","4-3-2021","REA","?realityUD?_ontwikkelingCrim",1,1,1
"1225","De Volkskrant","4-3-2021","REA","?realityUD?_vrijheidsrechten",-1,-1,1
"1226","De Volkskrant","4-3-2021","REA","?realityUD?_werk",-2,-1,2
"1227","De Volkskrant","4-3-2021","SF","?realitySF?_D66",0,0,1
"1228","De Volkskrant","4-3-2021","SF","?realitySF?_FvD",-1,-0.333333333333333,3
"1229","De Volkskrant","4-3-2021","SF","?realitySF?_PVV",0,0,1
"1230","De Volkskrant","4-3-2021","SF","?realitySF?_PvdD",0,0,2
"1231","De Volkskrant","4-3-2021","SF","?realitySF?_VVD",0,0,2
"1232","De Volkskrant","5-2-2021","IP","party_klimaatMilieu",1,1,1
"1233","De Volkskrant","5-2-2021","IP","party_vrijheidsrechten",0,0,2
"1234","De Volkskrant","5-2-2021","MP","media_CDA",-2,-1,2
"1235","De Volkskrant","5-2-2021","MP","media_D66",1,1,1
"1236","De Volkskrant","5-2-2021","MP","media_PvdA",-1,-1,1
"1237","De Volkskrant","5-2-2021","MP","media_VVD",-2,-0.5,4
"1238","De Volkskrant","5-2-2021","REA","?realityUD?_coronabestrijding",-1,-1,1
"1239","De Volkskrant","5-2-2021","REA","?realityUD?_coronaverspreiding",2,1,2
